"Valid taxon;;;""absolute fecundity (no. oocytes)"";;;""acid tolerance"";""body length (cm)"";;;""climate change affected species according to <a href=""""http://www.climate-and-freshwater.info"""" target=""""_blank"""">www.climate-and-freshwater.info</a> (caf)"";;;;;;;;;;;""egg diameter (mm)"";;;""feeding diet (adult)"";""feeding habitat"";""female maturity (years)"";;;;;habitat;;;""habitat (fiBS)"";;;""habitat degradation tolerance"";""HD threat"";""incubation period (days)"";;;""larval length (cm)"";;;""larval stage duration (days)"";;;""length weight regression"";""life span (years)"";;;migration;""migration (fiBS)"";;;;""oxygen tolerance"";""parental care"";""relative fecundity (no. oocytes/g)"";;;""reproduction (fiBS)"";;;;;;;;;""reproduction habitat"";""reproductive behaviour"";""rheophily (habitat)"";salinity;;;;;""shape factor"";;;;""spawning habitat"";""spawning time"";;""swimming factor"";;;""temperature tolerance"";""toxicity tolerance"";""trophy (fiBS)"";;;;;;;""water quality tolerance – general"";""Imported file"";",,
"Genus;Species;ID-fwe;fe1;fe2;fe3;""acid tolerance"";bl1;bl2;bl3;""rivers cold"";""rivers temp"";""rivers warm"";""lakes cold"";""lakes temp"";""lakes warm"";""wetlands cold"";""wetlands temp"";""wetlands warm"";""climate change impact"";winner/loser;ed1;ed2;ed3;""feeding diet (adult)"";""feeding habitat"";ma1;ma2;ma3;ma4;ma5;pel;ben;dem;indifferent;rheophil;stagnophil;""habitat degradation tolerance"";""HD threat"";ip1;ip2;ip3;ll1;ll2;ll3;ld1;ld2;ld3;""length weight regressionInfo"";ls1;ls2;ls3;migration;short;medium;long;type;""oxygen tolerance"";""parental care"";fr1;fr2;fr3;lithophilic;litho-pelagophilic;pelagophilic;phytophilic;phyto-lithophilic;psammophilic;ostracophilic;speleophilic;marine;""reproduction habitat"";""reproductive behaviour"";""rheophily (habitat)"";fre;fbr;brm;fbm;fma;sh1;sh2;sh3;sh4;""spawning habitat"";st1;st2;sw1;sw2;sw3;""temperature tolerance"";""toxicity tolerance"";""filter feeder"";herbivorous;inverti-piscivorous;invertivorous;omnivorous;piscivorous;planktivorous;""water quality tolerance – general"";genus;species",,
Cobitis;taenia;236;1;0;0;intol;1;0;0;;;;;;;;;;;;1;0;0;invert;ben;0;1;0;0;0;0;1;0;0;1;0;im;;0;1;0;;;;;;;;0;1;0;pot;1;0;0;;im;no;;;;0;0;0;1;0;0;0;0;0;;fra;rheo;1;0;0;0;0;0;0;0;1;eury;0;1;0;0;1;eury;im;0;0;0;1;0;0;0;im;Cobitis;taenia,,
Misgurnus;anguillicaudatus;365;1;0;0;im;0;1;0;;;;;;;;;;;;1;0;0;invert;ben;0;1;0;0;0;0;0;1;;;;tol;;;;;;;;;;;;0;1;0;;;;;;tol;no;;;;;;;;;;;;;;sin;eury;1;0;0;0;0;;;;;limno;1;0;;;;eury;;;;;;;;;tol;Misgurnus;anguillicaudatus,,
Misgurnus;fossilis;264;0;0;1;tol;0;1;0;;;;;;;;;;;;0;1;0;invert;ben;;;;;;0;0;1;0;0;1;intol;II;0;1;0;;;;1;0;0;0,000007*(x^3,0943);;;;nom;1;0;0;;tol;no;0;0;1;0;0;0;1;0;0;0;0;0;phy;sin;limno;1;0;0;0;0;0;0;0;1;limno;;;0;0;1;eury;tol;0;0;0;1;0;0;0;tol;Misgurnus;fossilis
"Sabanejewia;balcanica;410;;;;im;1;0;0;;;;;;;;;;;;;;;invert;ben;;;;;;0;0;1;0;1;0;intol;II;;;;;;;;;;;;;;nom;1;0;0;;intol;no;;;;0;0;0;1;0;0;0;0;0;phylith;fra;""rheo B"";1;0;0;0;0;;;;;eury;1;0;;;;eury;im;0;0;0;1;0;0;0;im;Sabanejewia;balcanica",,
Sabanejewia;baltica;560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sabanejewia;baltica,,
Sabanejewia;larvata;561;;;;;;;;;;;;;;;;;;;;;;invert;ben;;;;;;;;;;;;intol;;;;;;;;;;;;;;;;;;;;im;no;;;;;;;;;;;;;;sin;eury;;;;;;;;;;limno;;;;;;steno;intol;;;;;;;;im;Sabanejewia;larvata,,
"Abramis;brama;210;0;0;1;intol;0;0;1;;;;;;;;;;;;0;1;0;omni;ben;0;0;0;1;0;0;1;0;1;0;0;tol;;0;1;0;0;1;0;;;;;0;0;1;pot;1;0;0;;tol;no;1;0;0;0;0;0;0;1;0;0;0;0;phylith;sin;""rheo B"";0;1;0;0;0;1;0;0;0;eury;1;0;1;0;0;eury;tol;0;0;0;0;1;0;0;tol;Abramis;brama",,
Alburnoides;bipunctatus;215;1;0;0;intol;1;0;0;;;;;;;;;;;;0;0;1;invert;wc;0;1;0;0;0;0;1;0;0;1;0;intol;;0;1;0;;;;;;;0,00001*(x^3,"0125);1;0;0;pot;1;0;0;;intol;no;0;1;0;1;0;0;0;0;0;0;0;0;lith;fra;""rheo A"";0;1;0;0;0;1;0;0;0;rheo;0;1;1;0;0;steno;im;0;0;0;1;0;0;0;intol;Alburnoides;bipunctatus"
Alburnus;alburnus;216;0;1;0;tol;1;0;0;;;;;;;;;;;;0;1;0;omni;wc;0;1;0;0;0;0;1;0;1;0;0;tol;;0;0;1;0;1;0;;;;;1;0;0;pot;1;0;0;;im;no;0;0;1;0;0;0;0;1;0;0;0;0;phylith;fra;eury;0;1;0;0;0;0;0;1;0;eury;0;1;1;0;0;eury;im;0;0;0;0;1;0;0;tol;Alburnus;alburnus,,
Alburnus;arborella;585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Alburnus;arborella,,
