Genus,species,full,Status
Morone,saxatilis,Morone saxatilis,E
Mugil,cephalus,Mugil cephalus,N
Mugil,soiuy,Mugil soiuy,E
Mylopharyngodon,piceus,Mylopharyngodon piceus,E
Mystus,pelusius,Mystus pelusius,N
Nemacheilus,angorae,Nemacheilus angorae,N
Nemacheilus,insignis,Nemacheilus insignis,N
Neogobius,cephalarges,Neogobius cephalarges,N
Neogobius,cephalarges constructor,Neogobius cephalarges constructor,N
Neogobius,eurycephalus,Neogobius eurycephalus,N
Neogobius,fluviatilis,Neogobius fluviatilis,U
Neogobius,gymnotrachelus,Neogobius gymnotrachelus,U
Neogobius,iljini,Neogobius iljini,N
Neogobius,kessleri,Neogobius kessleri,U
Neogobius,melanostomus,Neogobius melanostomus,U
Neogobius,pallasi,Neogobius pallasi,N
Neogobius,platyrostris,Neogobius platyrostris,N
Neogobius,rhodioni,Neogobius rhodioni,N
Neogobius,syrman,Neogobius syrman,N
Nerophis,ophidion,Nerophis ophidion,N
Oncorynchus,gorbuscha,Oncorynchus gorbuscha,E
Oncorynchus,kisutch,Oncorynchus kisutch,E
Oncorynchus,mykiss,Oncorynchus mykiss,E
Oreochromis,niloticus,Oreochromis niloticus,E
Orthrias,araxensis,Orthrias araxensis,N
Orthrias,brandtii,Orthrias brandtii,N
Orthrias,frenatus,Orthrias frenatus,N
Orthrias,panthera,Orthrias panthera,N
Orthrias,tigris,Orthrias tigris,N
Orthrias,tschaiyssuensis,Orthrias tschaiyssuensis,N
Oryzias,latipes,Oryzias latipes,E
Osmerus,eperlanus,Osmerus eperlanus,U
Osmerus,mordax,Osmerus mordax,N
Pachychilon,macedonicum,Pachychilon macedonicum,N
Pachychilon,pictum,Pachychilon pictum,N
Padogobius,bonelli,Padogobius bonelli,N
Padogobius,nigricans,Padogobius nigricans,N
Parabramis,pekinensis,Parabramis pekinensis,E
Paracobitis,malapterurus,Paracobitis malapterurus,N
Pelecus,cultratus,Pelecus cultratus,N
Perca,fluviatilis,Perca fluviatilis,U
Percarina,demidoffi,Percarina demidoffi,U
Perccottus,glenii,Perccottus glenii,U
Petroleuciscus,smyrnaeus,Petroleuciscus smyrnaeus,N
Petromyzon,marinus,Petromyzon marinus,U
Phoxinellus,adspersus,Phoxinellus adspersus,N
Phoxinellus,epiroticus,Phoxinellus epiroticus,N
Phoxinellus,pseudalepidotus,Phoxinellus pseudalepidotus,N
Phoxinus,czekanowski,Phoxinus czekanowski,N
Phoxinus,phoxinus,Phoxinus phoxinus,U
Pimephales,promelas,Pimephales promelas,E
Platichthys,flesus,Platichthys flesus,N
Polyodon,spathula,Polyodon spathula,E
Pomatoschistus,bathi,Pomatoschistus bathi,N
Pomatoschistus,canestrinii,Pomatoschistus canestrinii,N
Pomatoschistus,marmoratus,Pomatoschistus marmoratus,U
Pomatoschistus,microps,Pomatoschistus microps,N
Pomatoschistus,minutus,Pomatoschistus minutus,N
Proterorhinus,marmoratus,Proterorhinus marmoratus,U
Pseudophoxinus,kervillei,Pseudophoxinus kervillei,N
Pseudophoxinus,laconicus,Pseudophoxinus laconicus,N
Pseudophoxinus,marathonicus,Pseudophoxinus marathonicus,N
Pseudophoxinus,meandricus,Pseudophoxinus meandricus,N
Pseudophoxinus,minutus,Pseudophoxinus minutus,N
Pseudophoxinus,stymphalicus,Pseudophoxinus stymphalicus,N
Pseudophoxinus,thesproticus,Pseudophoxinus thesproticus,N
Pseudorasbora,parva,Pseudorasbora parva,E
Pungitius,hellenicus,Pungitius hellenicus,N
Pungitius,platygaster,Pungitius platygaster,U
Pungitius,pungitius,Pungitius pungitius,U
Rhodeus,amarus,Rhodeus amarus,U
Rhodeus,sericeus,Rhodeus sericeus,U
Romanogobio,ciscaucasius,Romanogobio ciscaucasius,N
Romanogobio,pentatrichus,Romanogobio pentatrichus,N
Rutilus,alburnoides,Rutilus alburnoides,N
Rutilus,arcasii,Rutilus arcasii,N
Rutilus,aula,Rutilus aula,N
Rutilus,basak,Rutilus basak,N
Rutilus,frisii,Rutilus frisii,N
Rutilus,heckeli,Rutilus heckeli,N
Rutilus,karamani,Rutilus karamani,N
Rutilus,lemingii,Rutilus lemingii,N
