NOM,WATERWAY,NAVIGATION,fid,id
Lock 18 Dardenay,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","62","62"
Lock Djerdap 1,,,"321","321"
Lock 64 Audelange,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,75 m","44","44"
Lock 43,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock Asper,Bovenschelde,125 x 14 m — height : 2.46 m,"735","735"
Lock Dietfurt,Main-Donau Kanal,,"218","218"
Lock Toul,Moselle,,"102","102"
Lock N. Mesto n.V.,,,"262","262"
Lock Charlottenburg,Oder-Spree Wasserstraße - Unterspree,115 x 12.5 m — height : 1.3,"601","601"
Lock 23 Bec,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3 m","62","62"
Lock Neckargemünd,Neckar,110 x 12 m — height : 3.9 m@@parallel chambers,"185","185"
Lock 4 Golbey,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock Pleidelsheim,Neckar,110 x 12 m — height : 8 m@@parallel chambers,"191","191"
Lock Kralova,,,"253","253"
Lock Hradistko,,,"609","609"
Lock Diepenbeel,Albertkanaal,,"739","739"
Lock Pompey-Frouard,Moselle,"185 x 12 m — height : 2,7 m","102","102"
Lock 49 Malâtre,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,6 m","47","47"
Lock Rozanka,,,"406","406"
Lock 4 Dessel,Kanaal Bocholt-Herentals,50 x 7 m — height : 1.91 m,"740","740"
Lock 3 Berry-au-Bac,Canal latéral à l'Aisne,"38,5 x 5,2 m — height : 0,76 m","934","934"
Lock Torretta-Veneta,,,"384","384"
Lock Halle-Trotha,Saale,,"631","631"
Lock Wipfeld,Main,300 x 12 m — height : 4.25 m,"211","211"
Lock Plassendale,Kanaal Plassendale-Nieuwpoort,90 x 6.35 m,"150","150"
Lock Houx,Meuse,100 x 12 m — height : 2.01 m,"169","169"
Lock 6,Canal du Rhône au Rhin,"40,7 x 6,28 m — height : 2,46 m","51","51"
Lock 18 Bocholt,Zuidwillemsvaart,50 x 7 m — height : 1.76 m,"744","744"
Lock 35 Buxières,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,1 m","66","66"
Lock 18 Champ Bon-Garçon,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,68 m","908","908"
Lock 53 Gouille,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,7 m","46","46"
Lock,Rhein - Mannheim harbour,,"201","201"
Lock Kwaadmechelen,Albertkanaal,200 x 24 m — height : 10 m@@2 small chambers 136 x 16 m,"741","741"
Lock 52 Velotte,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,85 m","47","47"
Lock 15 Gray,Saône,"38,5 x 5,2 m — height : 1,76 m","60","60"
Lock 1 Vitry-le-François,Canal latéral à la Marne,"38,5 x 5,2 m — height : 2,76 m","74","74"
Lock Klavary,,,"608","608"
Lock Marbach,Neckar,110 x 12 m — height : 6 m@@parallel chambers,"191","191"
Lock 52 Bayard,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","72","72"
Lock,,,"491","491"
Lock Griesheim,Main,345.6 x 15 m — height : 4.49 m@@345.1 x 12 m,"180","180"
Lock 51 Tarragnoz,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,9 m","47","47"
Lock 1 Berry-au-Bac,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,85 m","934","934"
Lock Mallegatsluis,Gouda City Canals - Turfsingelgracht,,"824","824"
Lock Péronnes,Canal Nimy-Blaton-Péronnes,86 x 12 m — height : 5.6 m,"136","136"
Lock 1 Batailles,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,71 m","63","63"
Lock 21 Foulon de la Roche,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,83 m","64","64"
Lock Pierre-Bénite,Rhône,195 x 12 m,"33","33"
Lock 7,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 5,13 m","63","63"
Lock 3,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 5,13 m","63","63"
Lock Anderten,Mittellandkanal,217 x 12 m — height : 14.7 m@@parallel chambers,"685","685"
Lock Limbach,Main,300 x 12 m — height : 5.3 m,"215","215"
Lock Guttenbach,Neckar,110 x 12 m — height : 5.3 m@@parallel chambers,"188","188"
Lock 42,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 22 Krzyz,,57.4 x 9.6 m,"562","562"
Lock 35 Beaumont,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3 m","61","61"
Lock 30 Bologne,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,55 m","66","66"
Lock 22 Saint- Maurice,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 3 m","50","50"
Lock Januszkowice (large chamber),,,"401","401"
Lock 4,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 5,12 m","63","63"
Lock,Weesper Trekvaart,,"845","845"
Lock Bartoszewice,,,"406","406"
Lock 19 Usine de Thaon,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock Grevenmacher,Mosel,170  x 12 m — height : 6.25 m,"111","111"
Lock Barcarin,Liaison Rhône-Fos-Marseille,195 x 12 m,"17","17"
Lock Janowice (parallel chambers),,,"406","406"
Lock 21 Fosse-Rodé,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,68 m","908","908"
Lock 6,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,89 m","52","52"
Lock Horin (small chamber),,73 x 11 m,"615","615"
Lock Ceske Kopisty (large chamber),,,"614","614"
Lock 37 Grand-Crucifix,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,25 m","48","48"
Lock Madunice,,,"250","250"
Lock 12 Vic-sur-Aisne,Aisne,"46 x 7,95 m — height : 1,13 m","80","80"
Lock 37 Gros Moulin,Canal des Vosges,"38,5 x 5,2 m — height : 3,1 m","70","70"
Lock 32 Grurupt,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","71","71"
Lock Horin (large chamber),,137 x 20 m,"615","615"
Lock Pardubice,,,"605","605"
Lock Lys nad Labem,,,"610","610"
Lock Bamberg (10.94m),Main-Donau Kanal,,"216","216"
Lock Cerna za Bory,,,"606","606"
Lock,Canal de Pont-de-Vaux,"38,5 x 5 m","37","37"
Lock Viesville,Canal de Charleroi à Bruxelles,87.6 x 11.5 m — height : 7 m,"163","163"
Lock 17 Foireuse,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","62","62"
Lock,,,"493","493"
Lock 3,Canal du Rhône au Rhin,"40,7 x 6,28 m — height : 3,24 m","51","51"
Lock Müden,Mosel,170  x 12 m — height : 6.5 m,"121","121"
Lock Koblenz,Mosel,170  x 12 m,"123","123"
Lock Bad Abbach,Donau,,"221","221"
Lock 8 Golbey,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock 10 Void de Girancourt,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","71","71"
Lock 26 Condes,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","64","64"
Lock Zerben,Elbe-Havel-Kanal,225 x 123 m — height : 3.76-7.82 m,"644","644"
Lock 17 Voujeaucourt,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 3,23 m","50","50"
Lock 7 Pontoise,Oise,"185 x 12 m and 125 x 12 (two chambers) — height : 1,5 m","85","85"
Lock 48 Chalèze,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 3,55 m","47","47"
Lock Devinska N. Ves,,,"246","246"
Lock,Groeve,,"726","726"
Lock Stadtbredimus,Mosel,170  x 12 m — height : 3.8,"107","107"
Lock 61 Ranchot,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,85 m","44","44"
Lock 12 Vesaignes,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,35 m","65","65"
Lock Viersel,Nethe Kanaal,81.6 x 10.5 m — height : 5 m,"773","773"
Lock Hünxe,Wesel-Datteln Kanal,220 x 12 m — height : 5.5 m@@112 x 12 m,"787","787"
Lock 7 Comines,Lys mitoyenne,195 x 12.5 m — height : 1.2 m,"145","145"
Lock Snellesluis,Ringvaart van de Zuidplaspolder - link to Hollandsee IJssel,,"824","824"
Lock Oostersluis,Van Starkenborghkanaal,190 x 16 m,"727","727"
Lock 8 Celles,Canal latéral à l'Aisne,"38,5 x 5,2 m — height : 5,57 m (2 chambers)","78","78"
Lock 35,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 1,2 m","52","52"
Lock Erlabrunn,Main,12.5 x 2.5 m — height : 4.15 m,"208","208"
Lock Olawa,,,"405","405"
Lock Mühlendamm,Oder-Spree Wasserstraße,140 x 12 m — height : 1.5 m,"602","602"
Lock Wroblin (small chamber),,,"399","399"
Lock Smichov,,174 x 11 m,"604","604"
Lock 6,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 5,12 m","63","63"
Lock Campagne,Canal Seine-Nord Europe,195 x 12 m,"96","96"
Lock Ampsin-Neuville,Meuse,135 x 16 m — height : 16.8 m@@55 x 7.5 m,"171","171"
Lock 7,Canal du Rhône au Rhin,"40,7 x 6,28 m — height : 2,82 m","51","51"
Lock 47 Deluz,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 6,37 m (2 chambers)","47","47"
Lock Évry,Haute-Seine,"185 x 12 m two chambers — height : 1,56 m","89","89"
Lock Calbe,Saale,103 x 12 m,"634","634"
Lock 61 Hallignicourt,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,16 m","909","909"
Lock Erlangen,Main-Donau Kanal,,"212","212"
Lock Driel,Neder-Rijn,260 x 18 m,"834","834"
Lock 19 Pont-l'Évêque,Canal du Nord,"91,6 x 6 m — height : 5,72 m","940","940"
Lock Eichel,Main,12.5 x 2.5 m — height :  4.5 m,"183","183"
Lock 12 Savoyeux,Saône,"38,5 x 5,2 m — height : 3,61 m","67","67"
Lock 10 Vauxrot,Aisne,"46 x 7,95 m — height : 1,46 m","79","79"
Lock Schwabenheim,Neckar,110 x 12 m — height : 8.7 m@@parallel chambers,"199","199"
Lock Schönwalde,Havel Kanal,85 x 12 m — height : 2 m,"597","597"
Lock Lovosice (small chamber),,,"614","614"
Lock 29 Pont du Coney,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","71","71"
Lock Bussari,,,"388","388"
Lock 17 Reblangotte,Canal des Vosges,"38,5 x 5,2 m — height : 2,9 m","71","71"
Lock,Hohensaaten-Friedrichsthaler Wasserstraße,,"579","579"
Lock Thionville (small chamber),Moselle,,"106","106"
Lock 14,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,78 m","52","52"
Lock 10 Soing,Saône,"38,5 x 5,2 m — height : 1,03 m","67","67"
Lock 72 Abergement-la-Ronce,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,85 m","41","41"
Lock Ruisbroek,Canal de Charleroi à Bruxelles,81.6 x 10.5 m — height : 3.7 m,"158","158"
Lock Caderousse,Rhône,195 x 12 m,"25","25"
Lock 21,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,84 m","52","52"
Lock 1 Versant Saône,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 5,23 m","63","63"
Lock,,,"486","486"
Lock Detzem,Mosel,170  x 12 m — height : 9 m,"115","115"
Lock 9 Void de Girancourt,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","71","71"
Lock 9 Villeneuve-Saint-Germain,Aisne,"46 x 7,95 m — height : 1,36 m","79","79"
Lock Bruay,Escaut,"144,6 x 12 m","133","133"
Lock,,,"488","488"
Lock 4,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,83 m","52","52"
Lock Brzeg Dolny,,,"407","407"
Lock Erlabrunn,Main,300 x 12 m — height : 4.15 m,"208","208"
Lock Drakenburg,Mittelweser,214 x 12.3 m,"687","687"
Lock 47,Canal des Vosges,"41,3 x 5,2 m — height : 3 m","100","100"
Lock (parallel chambers),,,"396","396"
Lock 71 La Grange du Pont,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,85 m","41","41"
Lock Kersdorf,Oder-Spree Kanal,67.5 x 8.54 m — height : 2.38 m@@57 x 9.8 m,"567","567"
Lock Kostolec nad Labem,,,"613","613"
Lock 6 Saint-Audebert,Canal latéral à l'Aisne,"38,5 x 5,2 m — height : 2,1 m","78","78"
Lock 51 Fontaines,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 2,86 m","72","72"
Lock Wijnegem,Albertkanaal,200 x 24 m — height : 5.45 m@@2 small chambers 136 x 16 m,"774","774"
Lock 20 Thaon,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock 16 Weert,Zuidwillemsvaart,70 x 7.5 m,"744","744"
Lock Kostheim,Main,21.9 x 3.5 m — height : 3.03 m,"202","202"
Lock 69 Bon Repos,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,8 m","41","41"
Lock Kitzingen,Main,300 x 12 m — height : 3.66 m,"210","210"
Lock 15 Coteau-Jouvent,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,2 m","50","50"
Lock 20 Coney,Canal des Vosges,"38,5 x 5,2 m — height : 2,9 m","71","71"
Lock 3 Sapigneul,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,67 m","934","934"
Lock Gelsenkirchen,Rhein-Herne Kanal,190 x 12 m — height : 6.5 m@@double chamber,"780","780"
Lock Oisy-le-Verger,Canal Seine-Nord Europe,195 x 12 m,"132","132"
Lock Bourg-lès-Valence,Rhône,195 x 12 m,"29","29"
Lock,,,"308","308"
Lock Wijnegem (smaller chambers),Albertkanaal,,"774","774"
Lock,Canal du Havre à Tancarville,,"93","93"
Lock 50 Tarragnoz,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,1 m","47","47"
Lock 19 Plaine de Dampierre,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,5 m","50","50"
Lock Wettin,Saale,102.5 x 12 m,"631","631"
Lock 16 Pianowka,,57.4 x 9.6 m,"561","561"
Lock Kelheim,Main-Donau Kanal,,"946","946"
Lock 15 Beaumont,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,75 m","908","908"
Zemst Lock,Zeekanaal Brussel-Schelde,205 x 24.9 m — height : 8.9 m,"738","738"
Lock Grevenmacher,Mosel,18  x 3.4 m — height : 6.25 m,"111","111"
Lock 29,Canal de Charleroi à Bruxelles - old line,,"162","162"
Lock Andenne-Seilles,Meuse,200 x 25 m — height : 5.25 m,"167","167"
Lock Vives-Eaux,Haute-Seine,"185 x 12 m two chambers — height : 2,7 m","90","90"
Lock Dolni Berkovice (small chamber),,,"616","616"
Vogelgrun Locks,Rhin,"185 x 24 m and 185 x 12 (parallel chambers) — height : 11,8 m","56","56"
Lock Lehmen,Mosel,170  x 12 m — height : 7.45 m,"122","122"
Lock Roudnice nad Labem (small chamber),,,"617","617"
Lock Rothenfels,Main,12.5 x 2.5 m — height : 5.25 m,"206","206"
Lock Zacisze,,,"406","406"
Tancarville North Lock,Canal du Havre à Tancarville,"185 x 14 m — height : 7,15 m","93","93"
Lock Detzem,Mosel,18  x 3.4 m — height : 9 m,"115","115"
Lock 34 Fontenoy Amont,Canal des Vosges,"41,3 x 5,2 m — height : 3 m","71","71"
Lock 7 Zwevegem,Kanaal Bossuit-Kortrijk,115 x 12.5 m,"147","147"
Lock Rivière,Meuse,100 x 12 m — height : 2.04 m,"169","169"
Lock 34 Dampierre,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3 m","61","61"
Lock Altenwörth,Donau,,"237","237"
Lock Altenrheine,Dortmund-Ems Kanal,190 x 12 — height : 3.6 m,"709","709"
Strasbourg Locks,Rhin,185 x 24 m and 185 x 12 (parallel chambers) — height : 10.80 m,"197","197"
Lock 7 Void de Girancourt,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","71","71"
Lock 2 Moulin de Sapigneul,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,67 m","934","934"
Lock Le Logis Neuf,Rhône,"195 x 12 m — height : 13,75 m","28","28"
Lock 10 Prées,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,35 m","65","65"
Rhinau-Sundhouse Locks,Rhin,185 x 24 m and 185 x 12 (parallel chambers) — height : 12.30 m,"198","198"
Lock Langwedel,Mittelweser,214 x 12.3 m,"691","691"
Lock Viereth,Main,300 x 12 m — height : 6 m,"215","215"
Lock Stvanice (large chamber),,175 x 11 m,"604","604"
Lock Enkirch,Mosel,170  x 12 m — height : 7.5 m,"118","118"
Lock Eichel,Main,300 x 12 m — height : 4.5 m,"183","183"
Lock 19 Grande-Côte,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","62","62"
Lock Eibach,Main-Donau Kanal,,"219","219"
Iffezheim Locks,Rhin / Rhein,270 x 22.90 m (parallel chambers) — height : 10.30m,"195","195"
Lock Rakowiec,,57.3 x 9.5 m,"521","521"
Lock 45 Aigremont,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 0,71 m","47","47"
Lock Kakhovka,,,"423","423"
Lock Kreekrak,Schelde-Rijnverbinding,320 x 24 m,"768","768"
Lock 45,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 19,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,95 m","52","52"
Lock 13 Sillery,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 3,49 m","77","77"
Lock Koblenz,Mosel,18  x 3.2 m,"123","123"
Lock Denain,Escaut,"144,6 x 12 m","133","133"
Lock 17 Lozen,Zuidwillemsvaart,50 x 7 m — height : 2.9 m,"744","744"
Lock 44 Laissey,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,36 m","48","48"
Lock 34,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 3,89 m","52","52"
Lock 13 Marnay,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,35 m","65","65"
Lock,,,"489","489"
Lock Freudenberg,Main,300 x 12 m — height : 4.51 m,"178","178"
Gambsheim Locks,Rhin / Rhein,270 x 22.90 m (parallel chambers) — height : 10.35 m,"196","196"
Lock Ilava,,,"264","264"
Lock 2 Girancourt,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","99","99"
Lock Coudray,Haute-Seine,"185 x 12 m — height : 3,22 m","89","89"
Lock Lauenburg,Elbe-Lübeck-Kanal,80 x 12 m — height : 4.85 m,"669","669"
Lock 9,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,63 m","52","52"
Lock 25 Nomexy,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 2 Ermite,Canal latéral à la Marne,"38,5 x 5,2 m — height : 3,56 m","74","74"
Lock Ahsen,Wesel-Datteln Kanal,220 x 12 m — height : 7.5 m@@112 x 12 m,"782","782"
Lock Steti (large chamber),,,"617","617"
Lock 14 L'Espérance,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,63 m","908","908"
lock Münster,Dortmund-Ems Kanal,190 x 12.5 — height : 6.2 m,"715","715"
Locks Belfeld,Maas,260 x 16 m@@142 x 16 m,"752","752"
Lock 4 Launois,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","99","99"
Lock Wanne-Eickel LB,Rhein-Herne Kanal,190 x 12 m — height : 8.1 m,"779","779"
Lock 43 Chemin-de-fer,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,13 m","59","59"
Lock 27A,Canal de la Marne au Rhin,"40 x 6 m — height : 3,4 m","102","102"
Lock Hemelingen,Unterweser,350 x 12.4 m,"692","692"
Lock 15 Thillots,Canal des Vosges,"38,5 x 5,2 m — height : 3,03 m","71","71"
Lock Wallstadt,Main,300 x 12 m — height : 4 m,"184","184"
Lock 5,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,9 m","52","52"
Lock Melz,Petite Seine,"121 x 10,5 m — height : 1,37 m","927","927"
Lock 7 Golbey,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock Stadtbredimus,Mosel,18  x 3.4 m — height : 3.8 m,"107","107"
Lock 27 Papeteries,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 2,9 m","49","49"
Lock 5,Canal des Vosges - Embranchement de Nancy,"41,3 x 5,2 m — height : 2,5 m","101","101"
Lock Birsfelden,Rhein,180 x 11.4 m — height : 5.91 to 9.28 m@@187.5 x 11.4 m@@parallel chambers,"857","857"
Lock 27 Lavilleneuve,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","62","62"
Lock St.Aldegund,Mosel,18  x 3.2 m — height : 7 m,"119","119"
Lock Kwaadmechelen (small chambers),Albertkanaal,,"741","741"
Lock Wallsee-Mitterkirchen (parallel chambers),Donau,,"233","233"
Lock 27 Fouys,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock Bevergen,Dortmund-Ems Kanal,163 x 10 m — height : 8.1 m,"712","712"
Lock Thionville (large chamber),Moselle,176 x 12 m,"106","106"
Lock Port Saint-Louis-du-Rhône,Canal Maritime Saint-Louis,160 x 22 m,"17","17"
Lock Berching,Main-Donau Kanal,,"220","220"
Lock Varloh,Dortmund-Ems Kanal,165 x 12 m — height : 3.67 m@@163 x 10 m,"717","717"
lock Saint-Gilles,Canal Saint Gilles,195 x 12 m,"18","18"
Lock Terneuzen (Westsluis),Kanaal Terneuzen-Gent,290 x 40 m,"761","761"
Lock Hausen,Main-Donau Kanal,,"212","212"
Ottmarsheim Locks,Rhin,"185 x 24 m and 185 x 12 (parallel chambers) — height : 14,7 m","54","54"
Lock Port à l'Anglais,Haute-Seine,"185 x 12 m — height : 2,63 m","897","897"
Olen Lock,Albertkanaal,200 x 24 m — height : 10 m@@2 small chambers 136 x 16 m,"773","773"
Lock Varennes,Haute-Seine,"185 x 12 m — height : 2,72 m","915","915"
Locks Andrésy,Seine,"185 x 24 m and 160 x 12 (two chambers) — height : 2,84 m","87","87"
Locks Amfreville-Poses,Seine,220 x 17 m and 185 x 12 (two chambers),"943","943"
Lock 7 Fontaines,Canal de l'Aisne à la Marne,"38,5 x 5,2 m — height : 2,81 m","77","77"
Lock Folien,Escaut,"144,6 x 12 m","133","133"
Lock Floriffoux,Sambre,111.9 x 12.5 m — height : 3.9 m,"168","168"
Lock 27 Brethenay,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,1 m","64","64"
Lock,Zuidwillemsvaart,,"746","746"
Lock 27 Basse-du-Pommier,Canal des Vosges,"38,5 x 5,2 m — height : 3,5 m","71","71"
Lock 10,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,71 m","52","52"
Lock,,,"494","494"
Lock Fontenoy,Moselle,"185 x 12 m — height : 4,4 m","102","102"
Lock 21 Plaine de Thaon,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","101","101"
Lock 43 Basse Vaivre,Canal des Vosges,"38,5 x 5,2 m — height : 3,1 m","70","70"
Lock Maubray,Canal Nimy-Blaton-Péronnes,86 x 12 m — height : 12.5 m,"136","136"
Lock Marktbreit,Main,300 x 12 m — height : 3.31 m,"210","210"
Lock Sablons,Rhône,195 x 12 m,"31","31"
Lock Hasselt (smaller chambers),Albertkanaal,,"739","739"
Lock 3 Couvrot,Canal latéral à la Marne,"38,5 x 5,2 m — height : 1,55 m","74","74"
Lock Châteauneuf,Rhône,"195 x 12 m — height : 19,5 m","27","27"
Lock 15 Nederweert,Zuidwillemsvaart,65 x 7.5 m,"745","745"
Lock,,,"489","489"
Lock 8 Saint-Menge,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,6 m","65","65"
Lock Maasbracht (parallel chambers),Julianakanaal,142 x 16 m — height : 13 m,"747","747"
Lock Vorstadt,Untere-Havel-Wasserstraße,218 x 17.5 m@@170 x 12 m,"595","595"
Lock Harelbeke,Leie,115 x 12.5 m — height : 2.18 m,"148","148"
Lock 54 Eurville,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","72","72"
Lock 21 Montrepelle,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","62","62"
Lock 37 Rochette,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3 m","61","61"
Lock 37 Provenchères,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","66","66"
Lock 7 Celles,Canal latéral à l'Aisne,"38,5 x 5,2 m — height : 5,57 m (2 chambers)","78","78"
Klein Willebroek Lock,Zeekanaal Brussel-Schelde - link canal,61 x 7.3 m,"764","764"
Lock Podebrady,,,"609","609"
Lock Eckersmühlen,Main-Donau Kanal,,"217","217"
Lock 18 Chavelot,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock Ostschleuse Hohensaaten,Havel-Oder-Wasserstraße,170 x 11.5 m — height : 1.9 m,"578","578"
Lock 18 Dampierre,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,5 m","50","50"
Lock 25 Colosse,Canal des Vosges,"38,5 x 5,2 m — height : 3,25 m","71","71"
Lock Orne/Richemont (large chamber),Moselle,176 x 12 m,"105","105"
Lock 13 Couloisy,Aisne,"46 x 7,95 m — height : 0,67 m","80","80"
Lock 1 Bois-l'Abbé,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","99","99"
Lock Podbaba (small chamber),,73 x 11 m,"611","611"
Lock Podbaba (large chamber),,135 x 12 m,"611","611"
Lock Chroscice (small chamber),,,"399","399"
Lock Kostheim (parallel chambers),Main,342.2 x 15 m — height : 3.03 m@@339.6 x 12 m,"202","202"
Lock Plotzensee (double lock),Hohenzollernkanal,67.2 x 10 m — height : 0.75 m@@parallel chambers,"602","602"
Lock 42 Village de Selles,Canal des Vosges,"38,5 x 5,2 m — height : 3,1 m","70","70"
Lock Kleinostheim,Main,13.8 x 3.5 m — height : 6.86 m,"182","182"
Lock 42 Saint-Urbain,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,4 m","73","73"
Lock 25,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 3,07 m","52","52"
Lock 30 Montroche,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","71","71"
Lock 24 Val des Choux,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,05 m","64","64"
Lock 35 L'Ermite,Canal du Rhône au Rhin,"38,7 x 5,25 m — height : 1,65 m","49","49"
Lock 7,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,95 m","52","52"
Lock 32 Viéville,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","66","66"
Lock 35 Fontenoy-le-Château,Canal des Vosges,"38,5 x 5,2 m — height : 3 m","70","70"
Lock Flandres,Liaison Dunkerque-Escaut,"144,6 x 12 m","138","138"
Lock Port à l'Anglais,Haute-Seine,"185 x 12 m — height : 2,63 m","897","897"
Locks,Lekkanaal,225 x 18 m@@parallel chambers,"822","822"
Lock Apach (small chamber),Moselle,"18 x 3,5 m","107","107"
Lock 13 Bise l'Asaut,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,5 m","63","63"
Lock 8 Menen,Lys mitoyenne,195 x 12.5 m — height : 1.7 m,"149","149"
Lock 13,Canal du Rhône au Rhin,"38,8 x 5,1 m — height : 2,66 m","52","52"
Lock Beauchastel,Rhône,"195 x 12 m — height : 13,65 m","28","28"
Lock 42 Maxilly,Canal entre Champagne et Bourgogne,"38,5 x 5,2 m — height : 3,1 m","59","59"
