BB_PORT_CO,BB_COUNTRY,BB_MAIN_EW,BB_PORT_NA,BB_PORT__1,CARGOHACA,CARGOHAE20,CARGOHAE40,CARGORORO,RAILACCESS,PRIV_PORT,BB_COMMENT,BB_COMME_1,LO_LOCODE,fid,id
P 01-14,Netherlands,E 01,"Maassluis (Nieuwe Waterweg, 1 018.7 km)","Maassluis (Nieuwe Waterweg, 1018,7 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLMSL,"820","820"
P 10-41,France,E 10,"Ile Napoléon (Niffer-Mulhouse Canal, 37.6 km)","Ile Napoléon (Canal Niffer – Mulhouse, 37,6 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,"Oil products, minerals, fertilizers","Produits pétroliers, minéraux, engrais",,"53","53"
P 04-02,Belgium,E 04,"Beveren (Beneden Zeeschelde, 22.9 km)","Beveren (Beneden-Zeeschelde, 22,9 km)",No information,No information,No information,No information,No information,No,,,,"769","769"
P 01-09ter,Netherlands,E 01,"Meerlo/Wanssum (Maas, 133.0 km)","Meerlo/Wanssum (Maas, 133,0 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLMEW,"753","753"
P 10-21,Germany,E 10,"Andernach  (Rhine, 612.0 km)","Andernach  (Rhin, 612,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,DEAND,"125","125"
P 01-09quater,Netherlands,E 01,"Gennep (Maas, 153.0 km)","Gennep (Maas, 153,0 km)",3-10 Mt,Not available,Not available,Not available,Not available,No,,,NLGEN,"829","829"
P 80-43,Hungary,E 80,"Szàzhalombatta (Danube, 1 618.7 km)","Szàzhalombatta (Danube, 1 618,7 km)",0.5-3 Mt,No information,No information,No information,No information,No,Oil products,Produits pétroliers,,"259","259"
P 20-04-01,Germany,E 20-04,"Halle-Trotha (Saale, 86.0 km)","Halle-Trotha (Saale, 86,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,,"631","631"
P 80-32,Germany,E 80,"Deggendorf (Danube, 2 281.0–2 284.0 km)","Deggendorf (Danube, 2 281,0–2284,0 km)",0.5-3 Mt,Available,Available,Not available,Not available,Yes,,,,"225","225"
P 01-10ter,Netherlands,E 01,"Waalwijk (Bergsche Maas, 236.0 km)","Waalwijk (Bergsche Maas, 236,0 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLWLK,"842","842"
P 04-05,Belgium,E 04,"Bruxelles (Bruxelles-Schelde Canal, 81.5 km)","Bruxelles (Canal Bruxelles-Escaut, 81,5 km)",No information,No information,No information,No information,No information,No,,,BEBRU,"174","174"
P 81-07,Slovakia,E 81,Dubnica (Váh),Dubnica (Váh),0.5-3 Mt,No information,No information,No information,No information,No,Port is planned,Port prévu,,"264","264"
P 80-17,Germany,E 80,"Frankfurt (Main, 22.0–29.0 km)","Frankfurt (Main, 22,0–29,0 km)",0.5-3 Mt,Available,Available,Not available,Available,Yes,,,,"180","180"
P 80-08,Luxembourg,E 80,"Mertert (Moselle, 208.0 km)","Mertert (Moselle, 208,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,"Oil products, wood shavings, construction materials, coal, agricultural products/fertilizers","Produits pétroliers, copeaux de bois, matériaux de construction, charbon, produits agricoles/engrais",,"111","111"
P 80-27,Germany,E 80,"Schweinfurt (Main, 330.0 km)","Schweinfurt (Main, 330,0 km)",No information,Not available,Not available,Not available,Available,No,,,,"213","213"
P 91-03-04,Italy,E 91-03,"Verona Legnago (Mantova-Adriatic Sea Canal,  65.0 km)","Verona Legnago (Canal Mantova – mer Adriatique, 65,0 km)",0.5-3 Mt,No information,No information,No information,No information,No,,,,"384","384"
P 91-04bis,Italy,E 91,Cremona-Casalmaggiore (Po),Cremona-Casalmaggiore (Pô),0.5-3 Mt,No information,No information,No information,No information,No,,,,"380","380"
P 80-51,Romania,E 80,"Turnu Severin (Danube, 931.0 km)","Turnu Severin (Danube, 931,0 km)",0.5-3 Mt,Not available,Not available,Available,Available,No,,,,"321","321"
P 01-06,Netherlands,E 01,"Stein (Maas, 21.9 km)","Stein (Maas, 21,9 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,NLSTI,"751","751"
P 10-11,Germany,E 10,"Homberg, Sachtleben (Rhine, 774.0 km)","Homberg, Sachtleben (Rhin, 774,0 km)",>10 Mt,Available,Available,Available,Available,Yes,,,DEHBO,"783","783"
P 10-43,France,E 10,"Pagny  (Saône, 192.75 km)","Pagny  (Saône, 192,75 km)",0.5-3 Mt,Available,Available,Available,Not available,No,,,,"43","43"
P 80-07,France,E 80,"Thionville-Illange (Moselle, 271.9–270.1 km)","Thionville-Illange (Moselle, 271,9–270,1 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,,"106","106"
P 40-08,Ukraine,E 40,"Dniprodzerzhynsk (Dnipro, 429.0 km)","Dniprodzerzhynsk (Dnipro, 429,0 km)",3-10 Mt,Not available,Not available,Not available,Available,No,Bulk and general cargo,Marchandises diverses et en vrac,UADZK,"435","435"
P 91-03-02,Italy,E 91-03,Mantova Roncoferraro/Governolo (Mantova-Adriatic Sea Canal),Mantova Roncoferraro/Governolo (Canal Mantova – mer Adriatique),0.5-3 Mt,No information,No information,No information,No information,No,,,,"382","382"
P 90-03-02,Moldova,E 90-03,"Bender (Nistru, 228.0 km)","Bender (Nistru, 228,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,Dry bulk and general cargoes,Vrac sec et marchandises diverses,,"4","4"
P 10-05-01,Germany,E 10-05,"Mühlheim (Ruhr, 8.0 km)","Mühlheim (Ruhr, 8,0 km)",0.5-3 Mt,Available,Available,No information,No information,No,,,DEMUH,"784","784"
P 01-08,Netherlands,E 01,"Maasbracht (Maas, 41.8 km)","Maasbracht (Maas, 41,8 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,NLMSB,"747","747"
P 80-49,Serbia,E 80,"Smederevo (Danube, 1 116.3 km)","Smederevo (Danube, 1116,3 km)",0.5-3 Mt,No information,No information,No information,Available,No,,,RSSMO ,"313","313"
P 11-04,Netherlands,E 11,"Utrecht (Amsterdam-Rijnkanaal, 35.0 km)","Utrecht (Amsterdam-Rijnkanaal, 35,0 km)",3-10 Mt,Available,Available,Not available,Available,No,,,NLUTC,"821","821"
P 40-02-01,Ukraine,E 40-02,"Mykolaiv, river port (Pivdenny Buh, 40.0 km)","Mykolaiv, port fluvial (Pivdenny Buh, 40,0 km)",0.5-3 Mt,No information,No information,No information,No information,No,"Cereals, scrap, minerals","Céréales, ferraille, minéraux",UAZUA,"373","373"
P 80-47bis,Serbia,E 80,"Backa Palanka (Danube, 1 295.0 km)","Backa Palanka (Danube, 1295,0 km)",0.5-3 Mt,Available,No information,No information,Available,No,,,RSBPA ,"280","280"
P 10-10,Germany,E 10,"Schwelgern  (Rhine, 790.0 km)","Schwelgern  (Rhin, 790,0 km)",>10 Mt,No information,No information,No information,No information,Yes,,,,"783","783"
P 80-36,Austria,E 80,"Krems (Danube, 1998.0 km)","Krems (Danube, 1 998,0 km)",0.5-3 Mt,Available,Not available,Not available,Available,No,All cargoes but oil and oil products,Toutes marchandises sauf pétrole et produits pétroliers,,"237","237"
P 01-09quinqies,Netherlands,E 01,"Cuijk (Maas, 167.0 km)","Cuijk (Maas, 167,0 km)",3-10 Mt,Not available,Not available,Not available,Not available,No,,,NLCUY,"829","829"
P 14-04,Germany,E 14,"Bremen (Weser, 4.0–8.0 km)","Bremen (Weser, 4,0–8,0 km)",3-10 Mt,Available,Available,Available,Available,No,,,DEBRE,"692","692"
P 10-30,Germany,E 10,"Ludwigshafen  (Rhine, 420.0 km)","Ludwigshafen  (Rhin, 420,0 km)",3-10 Mt,Available,Available,Available,Available,No,,,DELUH,"201","201"
P 10-09,Germany,E 10,"Walsum-Sud  (Rhine, 791.0 km)","Walsum-Sud  (Rhin, 791,0 km)",0.5-3 Mt,No information,No information,No information,No information,Yes,,,,"785","785"
P 10-03-05,Germany,E 10-03,"Wanne-Eickel (Rhein-Herne Kanal, 32.0 km)","Wanne-Eickel (Rhein-Herne Kanal, 32,0 km)",0.5-3 Mt,No information,No information,No information,Available,No,,,,"779","779"
P 14-03,Germany,E 14,"Brake (Weser, 41.0 km)","Brake (Weser, 41,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,DEBKE,"695","695"
P 81-04,Slovakia,E 81,Pieštany (Váh),Pieštany (Váh),0.5-3 Mt,No information,No information,No information,No information,No,Port is planned,Port prévu,,"251","251"
P 05-06,Belgium,E 05,"Genk (Albertkanaal, 42.9 km)","Genk (Canal Albert, 42,9 km)",0.5-3 Mt,No information,No information,No information,No information,No,,,BEGNK,"739","739"
P 10-04,Germany,E 10,"Emmerich  (Rhine, 852.0 km)","Emmerich  (Rhin, 852,0 km)",0.5-3 Mt,No information,No information,No information,Available,No,,,DEEMM,"830","830"
P 70-05,Germany,E 70,"Hannover (Mittellandkanal, 155.0–159.0 km)","Hannover (Mittellandkanal, 155,0–159,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,,"686","686"
P 70-14,Germany,E 70,"Spandau South Harbour (Untere Havel-Wasserstraße, 2.0 km)","Port de Spandau-Sud (Untere Havel-Wasserstraße, 2,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"601","601"
P 10-22,Germany,E 10,"Neuwied  (Rhine, 606.0 km)","Neuwied  (Rhin, 606,0 km)",No information,Not available,Not available,Not available,Available,No,,,,"125","125"
P 70-10-05,Germany,E 70-10,"(Westhafenkanal, 3.0 km)","Westhafen Berlin (Westhafenkanal, 3,0 km)",No information,Not available,Not available,Not available,Available,No,,,DEBER,"602","602"
P 70-03,Germany,E 70,"Ibbenbüren (Mittellandkanal, 5.0 km)","Ibbenbüren (Mittellandkanal, 5,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"711","711"
P 40-01-01,Ukraine,E 40-01,"Chernihiv (Desna, 194.5 km)","Chernihiv (Desna, 194,5 km)",3-10 Mt,Not available,Not available,Not available,Available,No,General and bulk cargo,Marchandises diverses et en vrac,UAZUQ,"461","461"
P 41-04,Lithuania,E 41,"Kaunas (Nemunas, 209.0 km)","Kaunas (Nemunas, 209,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"555","555"
P 14-02,Germany,E 14,"Nordenham (Weser, 54.0–64.0 km)","Nordenham (Weser, 54,0–64,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,DENHA,"693","693"
P 15-06,Germany,E 15,"Oldenburg (Hunte, 0.0–5.0 km)","Oldenburg (Hunte, 0,0–5,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,Yes,,,DEOLO,"698","698"
P 91-03-01,Italy,E 91-03,"Mantova (Valdaro and private ports) (Mantova-Adriatic Sea Canal, 0.0 km and Mantova Lakes)","Mantova (Valdaro et ports privés) (Canal Mantova-mer Adriatique, 0,0 km et lacs de Mantova)",3-10 Mt,Available,Available,No information,Available,No,,,,"382","382"
P 01-05,Netherlands,E 1,"Maastricht (Maas, 4.5 km)","Maastricht (Maas, 4,5 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,NLMST,"746","746"
P 80-04-01,France,E 80-04,"Montereau (Seine, 67.4 km)","Montereau (Seine, 67,4 km) Nanterre (Seine, 39,4 km)",0.5-3 Mt,Available,Available,Available,Available,No,2013 project: containers,Projet 2013 : conteneurs,,"915","915"
P 10-08,Germany,E 10,"Walsum-Nordhafen (Rhine, 793.0 km)","Walsum-Nordhafen (Rhin, 793,0 km)",0.5-3 Mt,No information,No information,No information,No information,Yes,,,DEWLM,"785","785"
P 10-40,France,E 10,"Fort Louis Stattmatten (Grand Canal d'Alsace, 322.0 km)","Fort Louis Stattmatten (Grand Canal d'Alsace, 322,0 km)",0.5-3 Mt,No information,No information,No information,No information,No,,,,"196","196"
P 80-47,Croatia,E 80,"Vukovar (Danube, 1 333.1 km)","Vukovar (Danube, 1333,1 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,,"279","279"
P 91-02-02,Italy,E 91-02,"Pavia (Po, 98.0 km from Conca di Cremona)","Pavia (Pô, 98,0 km depuis Conca di Cremona)",No information,No information,No information,No information,No information,No,Construction foreseen,Construction prévue,,"7","7"
P 70-10-04,Germany,E 70-10,"Charlottenburg Power Station (Spree, 8.0 km)","Centrale électrique de Charlottenburg (Spree, 8,0 km)",No information,Not available,Not available,Not available,Not available,No,,,,"601","601"
P 01-01-01,Belgium,E 01-01,"Overpelt (Kanaal Bocholt-Herentals, 14.8 km)","Overpelt (Kanaal Bocholt-Herentals, 14,8 km)",No information,No information,No information,No information,No information,No,,,,"743","743"
P 70-13,Germany,E 70,"Deponie Deetz (Untere Havel-Wasserstraße, 40.0 km)","Deponie Deetz (Untere Havel-Wasserstraße, 40,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,Yes,,,,"595","595"
P 91-06-01,Italy,E 91-06,"Porto Tolle (Po Grande, 260.0 km from Milano Terminale)","Porto Tolle (Pô Grande, 260,0 km depuis le Milano Terminale)",No information,No information,No information,No information,No information,No,Construction foreseen,Construction prévue,,"395","395"
P 14-01,Germany,E 14,"Bremerhaven (Weser, 66.0–68.0 km)","Bremerhafen (Weser, 66,0–68,0 km)",0.5-3 Mt,Available,Available,Available,Available,No,,,DEBRV,"693","693"
P 80-04-01,France,E 80-04,"Limay-Porcheville (Seine, 109.0 km)","Limay-Porcheville (Seine, 109,0 km) Montereau (Seine, 67,4 km)",0.5-3 Mt,Available,Available,Available,Available,No,"Construction materials, bulk cargo, metallurgy (ore, coils)","Matériaux de construction, vrac, métallurgie (minerai, bobines)",FRLMY,"86","86"
P 03-04,Belgium,E 03,"Gent (Gent-Terneuzen Canal, 4.6 km)","Gent (Canal Gent-Terneuzen, 4,6 km)",No information,No information,No information,No information,No information,No,,,BEGNE,"756","756"
P 15-05,Germany,E 15,"Leer (Ems, 14.0 km)","Leer (Ems, 14,0 km)",No information,Not available,Not available,Not available,Available,No,,,DELEE,"721","721"
P 80-58bis,Bulgaria,E 80,"Silistra (Danube, 375.5 km)","Silistra (Danube, 375,5 km)",0.5-3 Mt,Not available,Not available,Available,Available,No,,,BGSLS,"343","343"
P 20-06-01,Czech Republic,E 20-06,"Mirejovice (Vltava, 18.9 km)","Mirejovice (Vltava, 18,9 km)",0.5-3 Mt,Not available,Not available,Available,Not available,No,,,,"614","614"
P 40-07bis,Ukraine,E 40,"Poltava Ore Mining and Processing Enterprise (Dnipro, 521.0 km)","Poltava, entreprise d'extraction et de traitement de minerai (Dnipro, 521,0 km)",3-10 Mt,Not available,Not available,Not available,Available,No,"Ore, minerals","Minerai, autres minéraux",UAPLV,"440","440"
P 41-03,Lithuania,E 41,"Uostadvaris (Nemunas, 61.3 km)","Uostadvaris (Nemunas, 61,3 km)",No information,No information,No information,No information,No information,No,The distance to Lithuanian ports is measured from the Klaipeda sea port.,La distance à laquelle se situent les ports lituaniens est calculée à partir du port maritime de Klaipeda.,,"546","546"
P 10-03,Netherlands,E 10,"Tiel (Waal, 914.6 km)","Tiel (Waal, 914,6 km)",0.5-3 Mt,Not available,Not available,Available,Not available,No,,,NLTIE,"846","846"
P 80-04-01,France,E 80-04,"Melun (Seine, 110.0 km)","Melun (Seine, 110,0 km) Limay-Porcheville (Seine, 109,0 km)",0.5-3 Mt,No information,No information,No information,No information,No,,,,"90","90"
P 91-06,Italy,E 91,"Ferrara (Po, 200.0 km from Milano Terminale)","Ferrara (Pô, 200,0 km depuis le Milano Terminale)",No information,No information,No information,No information,No information,No,,,,"387","387"
P 11-02bis,Netherlands,E 11,"Beverwijk (Noordzeekanaal, 4.5 km)","Beverwijk (Noordzeekanaal, 4,5 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLBEV,"819","819"
P 80-58,Romania,E 80,"Oltenita (Danube, 430.0 km)","Oltenita (Danube, 430,0 km)",0.5-3 Mt,Not available,Not available,Available,Available,No,,,,"340","340"
P 80-24,Germany,E 80,"Triefenstein (Main, 173.0 km)","Triefenstein (Main, 173,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,Yes,,,,"206","206"
P 80-48bis,Serbia,E 80,"Pancevo (Danube, 1 152.8 km)","Pancevo (Danube, 1152,8 km)",0.5-3 Mt,Available,No information,No information,Available,No,,,RSPYJ ,"312","312"
P 10-20,Germany,E 10,"Bonn  (Rhine, 658.0 km)","Bonn  (Rhin, 658,0 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,,"128","128"
P 70-12,Germany,E 70,"Brandenburg (Untere Havel-Wasserstraße, 57.0 km)","Brandenburg (Untere Havel-Wasserstraße, 57,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,Gravel works,Ouvrages en gravier,,"956","956"
P 70-10-02,Germany,E 70-10,"Nonnendamm (Spree, 2.0 km)","Nonnendamm (Spree, 2,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"601","601"
P 81-03,Slovakia,E 81,Hlohovec (Váh),Hlohovec (Váh),0.5-3 Mt,No information,No information,No information,No information,No,Port is planned,Port prévu,,"250","250"
P 80-01-02,Serbia,E 80-01,"Senta (Tisza, 122.0 km)","Senta (Tisza, 122,0 km)",0.5-3 Mt,Available,No information,No information,Available,No,,,RSSEN ,"311","311"
P 71-06-01,Germany,E 71-06,"Niederlehme (Dahme-Wasserstraße, 8.0 km)","Niederlehme (Dahme-Wasserstraße, 8,0 km)",No information,Not available,Not available,Not available,Not available,Yes,,,,"603","603"
P 40-07,Ukraine,E 40,"Kremenchuk (Dnipro, 541.0 km)","Kremenchuk (Dnipro, 541,0 km)",>10 Mt,Available,Not available,Not available,Available,No,Bulk and general cargo,Marchandises diverses et en vrac,UAKRE,"442","442"
P 80-04-01,France,E 80-04,"Evry (Seine, 137.8 km)","Evry (Seine, 137,8 km) Melun (Seine, 110,0 km)",0.5-3 Mt,Available,Available,Available,Available,No,"Construction materials, bulk cargo, metallurgy (ore, coils)","Matériaux de construction, vrac, métallurgie (minerai, bobines)",FREVR,"89","89"
P 80-57,Romania,E 80,"Giurgiu (Danube, 493.0 km)","Giurgiu (Danube, 493,0 km)",0.5-3 Mt,Not available,Not available,Available,Available,No,,,ROGRG,"338","338"
P 80-04-01,France,E 80-04,"Gennevilliers (Seine, 194.7 km)","Gennevilliers (Seine, 194,7 km) Bonneuil-Vigneux (Seine, 169,7 km)",>10 Mt,Available,Available,Available,Not available,No,"Construction materials, bulk cargo, metallurgy (ore, coils)","Matériaux de construction, vrac, métallurgie (minerai, bobines)",FRGVL,"88","88"
P 80-04-01,France,E 80-04,"Bonneuil-Vigneux (Seine, 169.7 km)","Bonneuil-Vigneux (Seine, 169,7 km) Evry (Seine, 137,8 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,"Construction materials, bulk cargo, metallurgy (ore, coils)","Matériaux de construction, vrac, métallurgie (minerai, bobines)",,"897","897"
P 12-04,Netherlands,E 12,"Kampen (Geldersche IJssel, 106.8 km)","Kampen (Geldersche IJssel, 106,8 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,NLKAM,"818","818"
P 91-02-01,Italy,E 91-02,"Piacenza (Po, 35.0 km from Conca di Cremona)","Piacenza (Pô, 35,0 km depuis Conca di Cremona)",0.5-3 Mt,No information,No information,No information,No information,No,,,,"8","8"
P 70-01ter,Netherlands,E 70,"Hengelo (Twentekanaal, 45.1 km)","Hengelo (Twentekanaal, 45,1 km)",3-10 Mt,Available,Available,Not available,Available,No,,,NLHGL,"793","793"
P 81-02,Slovakia,E 81,Sered (Váh),Sered’ (Váh),0.5-3 Mt,No information,No information,No information,No information,No,Port is planned,Port prévu,,"252","252"
P 80-04-01,France,E 80-04,Autonomous port of Paris,"Port autonome de Paris :  Gennevilliers (Seine, 194,7 km)",>10 Mt,Available,Available,Available,No information,No,"Agricultural products, fuels","Produits agricoles, combustibles",FRPAR,"88","88"
P 80-46bis,Serbia,E 80,"Apatin (Danube, 1 401.5 km)","Apatin (Danube, 1401,5 km)",0.5-3 Mt,No information,No information,No information,No information,No,,,RSAPT ,"278","278"
P 10-29,Germany,E 10,"Mannheim  (Rhine, 424.0 km)","Mannheim  (Rhin, 424,0 km)",3-10 Mt,Available,Available,Available,Available,No,,,DEMHG,"201","201"
P 80-46,Hungary,E 80,"Baja (Danube, 1 480.0 km)","Baja (Danube, 1480,0 km)",0.5-3 Mt,Available,No information,No information,Available,No,,,,"273","273"
P 80-23,Germany,E 80,"Aschaffenburg (Main, 83.0 km)","Aschaffenburg (Main, 83,0 km)",0.5-3 Mt,Available,Not available,Not available,Available,No,,,,"182","182"
P 10-39,France,E 10,"Mulhouse-Ottmarsheim (Grand Canal d'Alsace, 21.0 km)","Mulhouse-Ottmarsheim (Grand Canal d'Alsace, 21,0 km)",3-10 Mt,Available,Available,Not available,Available,No,"Minerals, agricultural products, metallurgical products and chemicals","Minéraux, produits agricoles, métallurgiques  et chimiques",,"55","55"
P 10-01-03,Germany,E 10-01,"Auguste Victoria  (Wesel-Datteln Kanal, 39.0 km)","Auguste Victoria  (Wesel-Datteln Kanal, 39,0 km)",0.5-3 Mt,No information,No information,No information,No information,Yes,,,,"781","781"
P 80-45,Hungary,E 80,"Dunaföldvàr (Danube, 1 563.0 km)","Dunaföldvàr (Danube, 1563,0 km)",0.5-3 Mt,No information,No information,No information,No information,No,Oil products,Produits pétroliers,,"270","270"
P 91-05ter,Italy,E 91,Mantova Revere (Po),Mantova Revere (Pô),0.5-3 Mt,Available,No information,No information,No information,No,,,,"383","383"
P 80-01-01,Hungary,E 80-01,"Szeged (Tisza, 170.0 km)","Szeged (Tisza, 170,0 km)",0.5-3 Mt,No information,No information,No information,Available,No,,,,"311","311"
P 10-33,Germany,E 10,"Wörth  (Rhine, 366.0 km)","Wörth  (Rhin, 366,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,DEWOE,"124","124"
P 70-11,Germany,E 70,"Brandenburg (Untere Havel-Wasserstraße, 60.0 km)","Brandenburg (Untere Havel-Wasserstraße, 60,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,Yes,,,,"956","956"
P 10-03-01,Germany,E 10-03,"Essen (Rhein-Herne Kanal, 16.0 km)","Essen (Rhein-Herne Kanal, 16,0 km)",0.5-3 Mt,No information,No information,No information,Available,No,,,,"780","780"
P 80-22,Germany,E 80,"Stockstadt (Main, 82.0 km)","Stockstadt (Main, 82,0 km)",0.5-3 Mt,Available,Not available,Not available,Available,No,,,,"182","182"
P 80-33,Austria,E 80,"Linz (Danube, 2 128.2–2 130.6 km)","Linz (Danube, 2 128,2–2 130,6 km)",0.5-3 Mt,Available,Available,Available,Available,No,All cargoes,Toutes marchandises,,"231","231"
P 03-01,Netherlands,E 03,"Moerdijk (Hollands Diep, 986.0 km)","Moerdijk (Hollands Diep, 986,0 km)",>10 Mt,Available,Available,Available,Available,No,,,NLMOE,"843","843"
P 80-06-01,Germany,E 80-06,"Dillingen (Saar, 59.0 km)","Dillingen (Saar, 59,0 km)",3-10 Mt,Available,Available,Available,Available,No,,,,"109","109"
P 70-09,Germany,E 70,"Haldensleben (Mittellandkanal, 301.0 km)","Haldensleben (Mittellandkanal, 301,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"645","645"
P 10-01-02,Germany,E 10-01,"Marl Hüls-AG  (Wesel-Datteln Kanal, 38.0 km)","Marl Hüls-AG  (Wesel-Datteln Kanal, 38,0 km)",3-10 Mt,No information,No information,No information,Available,Yes,,,,"781","781"
P 80-55,Bulgaria,E 80,"Svistov (Danube, 554.0 km)","Svistov (Danube, 554,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,BGSVI,"335","335"
P 70-10,Germany,E 70,"Niegripp (Elbe-Havel-Kanal, 330.0 km)","Niegripp (Elbe-Havel-Kanal, 330,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,Yes,,,,"640","640"
P 60-12-01,Netherlands,E 60-12,Delfzijl (Waddenzee),Delfzijl (Waddenzee),3-10 Mt,Available,Available,Available,Available,No,,,NLDZL,"725","725"
P 70-08-01,Germany,E 70-08,"Salzgitter (Stichkanal, 15.0 km)","Salzgitter (Stichkanal, 15,0 km)",0.5-3 Mt,Available,Not available,Not available,Available,No,,,DESAR,"679","679"
P 15-03,Netherlands,E 15,"Groningen (Van Starkenborghkanaal, 7.0 km)","Groningen (Van Starkenborghkanaal, 7,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,NLGRQ,"727","727"
P 10-02ter,Netherlands,E 10,"Zaltbommel (Waal, 935.0 km)","Zaltbommel (Waal, 935.0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,,"849","849"
P 10-34,Germany,E 10,"Karlsruhe (Rhine, 360.0 km)","Karlsruhe (Rhin, 360,0 km)",No information,Available,Available,Available,Available,No,,,DEKAE,"124","124"
P 80-54,Romania,E 80,"Turnu Magurele (Danube, 597.0 km)","Turnu Magurele (Danube, 597,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"334","334"
P 80-64,Romania,E 80,"Tulcea (Danube, 34.0 Mm-42.0 Mm)","Tulcea (Danube, 34,0 Mm – 42,0 Mm)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,ROTCE,"357","357"
P 80-14,Germany,E 80,"Raunheim (Main, 14.0 km)","Raunheim (Main, 14,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,Yes,,,,"203","203"
P 70-06-01,Germany,E 70-06,"Hildesheim (Stichkanal, 15.0 km)","Hildesheim (Stichkanal, 15,0 km)",No information,Not available,Not available,Not available,Available,No,,,,"647","647"
P 11-02,Netherlands,E 11,"Zaanstad (Zaan, 1.4 km)","Zaanstad (Zaan, 1,4 km)",3-10 Mt,Available,Available,Not available,Available,No,,,NLZAA,"819","819"
P 80-15,Germany,E 80,"Hattersheim (Main, 17.0 km)","Hattersheim (Main, 17,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,Yes,,,,"203","203"
P 03-02,Netherlands,E 03,"Terneuzen (Gent-Terneuzen Canal, 32.5 km)","Terneuzen (Canal Gent-Terneuzen, 32,5 km)",>10 Mt,Available,Available,Available,Available,No,,,NLTNZ,"758","758"
P 80-48,Serbia,E 80,"Beograd (Danube, 1 170.0 km)","Beograd (Danube, 1170,0 km)",0.5-3 Mt,Available,Available,No information,Available,No,,,RSBEG,"312","312"
P 13-03,Germany,E 13,"Dortmund (Dortmund-Ems-Kanal, 1.0 km)","Dortmund (Dortmund-Ems Kanal, 1,0 km)",0.5-3 Mt,Available,Available,No information,Available,No,,,DEDTM,"777","777"
P 70-01bis,Netherlands,E 70,"Lochem (Twentekanaal, 15.5 km)","Lochem (Twentekanaal, 15,5 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,NLLCH,"814","814"
P 12-03,Netherlands,E 12,"Zwolle (IJssel, 980.7 km)","Zwolle (IJssel, 980,7 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,NLZWO,"811","811"
P 70-01,Netherlands,E 70,"Wageningen (Neder-Rijn, 903.2 km)","Wageningen (Neder-Rijn, 903,2 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,NLWGW,"834","834"
P 81-01,Slovakia,E 81,Šala (Váh),Šala (Váh),0.5-3 Mt,No information,No information,No information,Available,No,Port is planned,Port prévu,,"253","253"
P 10-02,Netherlands,E 10,"Alblasserdam (Noord, 981.1 km)","Alblasserdam (Noord, 981,1 km)",0.5-3 Mt,Available,Available,Not available,Not available,No,,,NLABL,"825","825"
P 15-02ter,Netherlands,E 15,"Zuidhorn (Van Starckenborghkanaal, 15.0 km)","Zuidhorn (Van Starkenborghkanaal, 15,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,,"789","789"
