BB_PORT_CO,BB_COUNTRY,BB_MAIN_EW,BB_PORT_NA,BB_PORT__1,CARGOHACA,CARGOHAE20,CARGOHAE40,CARGORORO,RAILACCESS,PRIV_PORT,BB_COMMENT,BB_COMME_1,LO_LOCODE,fid,id
P 71-06-02,Germany,E 71-06,"Königs Wusterhausen (Dahme-Wasserstraße, 8.0 km)","Königs Wusterhausen (Dahme-Wasserstraße, 8,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,No,,,,"603","603"
P 10-35,Germany,E 10,"Kehl  (Rhine, 297.0 km)","Kehl  (Rhin, 297,0 km)",0.5-3 Mt,Available,Available,Not available,Available,No,,,DEKEH,"197","197"
P 70-02,Netherlands,E 70,"Enschede (Twentekanaal, 49.8 km)","Enschede (Twentekanaal, 49,8 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,,,,"793","793"
P 21-01,Germany,E 21,"Lübeck (Trave, 2.0–8.0 km)","Lübeck (Trave, 2,0–8,0 km)",0.5-3 Mt,Available,Available,Available,Available,No,,,DELBC,"656","656"
P 10-16,Germany,E 10,"Stürzelberg  (Rhine, 726.0 km)","Stürzelberg  (Rhin, 726,0 km)",0.5-3 Mt,Available,Available,No information,Available,Yes,,,DESUE,"728","728"
P 20-06-02,Czech Republic,E 20-06,"Praha (Vltava, 47.4 and 55.5 km)","Praha (Vltava, 47,4 et  55,5 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,No,Bulk cargoes,Marchandises en vrac,,"611","611"
P 10-03-04,Germany,E 10-03,"Gelsenkirchen (Rhein-Herne Kanal, 24.0 km)","Gelsenkirchen (Rhein-Herne Kanal, 24,0 km)",3-10 Mt,Available,Available,No information,Available,No,,,DEGEK,"780","780"
P 80-25,Germany,E 80,"Karlstadt (Main, 227.0 km)","Karlstadt (Main, 227,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,Yes,,,,"208","208"
P 80-59bis,Romania,E 80,"Cernavoda (Danube, 298.0 km)","Cernavoda (Danube, 298,0 km)",0.5-3 Mt,Not available,Not available,Available,Available,No,,,ROCEV,"346","346"
P 70-10-03,Germany,E 70-10,"Reuter Power Station (Spree, 3.0 km)","Centrale électrique de Reuter (Spree, 3,0 km)",0.5-3 Mt,Not available,Not available,Not available,Available,Yes,,,,"601","601"
P 40-01,Poland,E 40,Gdansk (Baltic Sea- mouth of the Wisla),Gdansk (mer Baltique – embouchure de la Wisla),>10 Mt,Available,Available,Available,Available,No,,,PLGDN,"532","532"
P 40-12,Ukraine,E 40,"Kherson (Dnipro, 28.0 km)","Kherson (Dnipro, 28,0 km)",3-10 Mt,Available,Not available,Not available,Available,No,"Bulk and general cargo, lighters","Marchandises diverses et en vrac, allèges",UAKHE,"420","420"
P 01-04,Belgium,E 01,"Liège (Meuse, 105.0 km)","Liège (Meuse, 105,0 km)",>10 Mt,Available,Available,Available,Available,No,,,BELGG,"172","172"
P 70-10-01,Germany,E 70-10,Cargo–Handling Complex (branch of the Spree at 0.0 km),"Complexe de manutention des marchandises (bras de la Spree à 0,0 km)",0.5-3 Mt,Not available,Not available,Not available,Not available,Yes,,,,"601","601"
P 80-35,Austria,E 80,"Enns-Ennsdorf (Danube, 2 111.8 km)","Enns-Ennsdorf (Danube, 2 111,8 km)",0.5-3 Mt,Available,Available,Available,Available,No,"General and bulk cargoes, liquid gas","Marchandises diverses et en vrac, gaz liquéfié",ATENO ,"232","232"
P 01-13,Netherlands,E 01,"Vlaardingen (Nieuwe Waterweg, 1 010.5 km)","Vlaardingen (Nieuwe Waterweg, 1010,5 km)",3-10 Mt,Not available,Not available,Available,Available,No,,,NLVLA,"840","840"
P 10-03-02,Germany,E 10-03,"Koeln-Neuessen (Rhein-Herne Kanal, 17.0 km)","Coelln-Neuessen (Rhein-Herne Kanal, 17,0 km)",0.5-3 Mt,No information,No information,No information,No information,Yes,,,,"780","780"
P 10-03-03,Germany,E 10-03,"Ruhr-Oel (Rhein-Herne Kanal, 22.0 km)","Ruhr-Oel (Rhein-Herne Kanal, 22,0 km)",0.5-3 Mt,Available,Available,No information,Available,Yes,,,,"780","780"
P 15-04,Germany,E 15,"Emden (Ems, 41.0 km)","Emden (Ems, 41,0 km)",0.5-3 Mt,Available,Available,Available,Available,No,,,DEEME,"724","724"
P 80-34,Austria,E 80,"Linz-Vöest (Danube, 2 127.2 km)","Linz-Vöest (Danube, 2 127,2 km)",3-10 Mt,Available,Available,Not available,Available,Yes,Metallurgical products,Produits métallurgiques,,"231","231"
P 41-01,Lithuania,E 41,Klaipeda sea port (Kurshskiy Zaliv),Port maritime de Klaipeda (Kurshskiy Zaliv),>10 Mt,Available,Available,Available,Available,No,,,LTKLJ,"551","551"
P 80-56,Bulgaria,E 80,"Roussse (Danube, 495.0 km)","Rousse (Danube, 495,0 km)",3-10 Mt,Not available,Not available,Available,Available,No,,,BGRDU,"338","338"
